number,barcode,product_name,store_number,store_name,category1,category2,category3,category4,price1,price2,sale_num,ware_house_inventory,jd_inventory,total_inventory
1302010040088 ,6935778564895 ,CATKIN卡婷·念奴娇唇釉C02暖堂春 4.2g,116,深圳市盟客供应链科技有限公司,TC彩妆,唇部,唇釉,哑光唇釉,32.13,69.9,0,5,0,5
1302010040087 ,6935778564901 ,CATKIN卡婷·念奴娇唇釉C03胭脂扣 4.2g,100,广东快客电子商务有限公司,TC彩妆,唇部,唇釉,哑光唇釉,32.13,69.9,0,0,48,48
13020100341 ,8806164118207 ,TheSaem得鲜·爱可按钮唇膏02#完美珊瑚红色2G,100,广东快客电子商务有限公司,TC彩妆,唇部,口红,亮面口红,32,59.9,0,0,32,32
13020100351 ,8806164118214 ,TheSaem得鲜·爱可按钮唇膏03#笑容橙色2G,100,广东快客电子商务有限公司,TC彩妆,唇部,口红,亮面口红,32,59.9,0,0,15,15
13020100411 ,8806164120903 ,TheSaem得鲜·爱可按钮干爽唇膏M05红围巾色2G,116,深圳市盟客供应链科技有限公司,TC彩妆,唇部,口红,哑光口红,32,69.9,0,266,0,266
13020100411 ,8806164120903 ,TheSaem得鲜·爱可按钮干爽唇膏M05红围巾色2G,100,广东快客电子商务有限公司,TC彩妆,唇部,口红,哑光口红,32,69.9,0,0,50,50
13020100331 ,8806164118191 ,得鲜 爱可按钮唇膏01#热吻红色,100,广东快客电子商务有限公司,TC彩妆,唇部,口红,亮面口红,32,59.9,0,0,25,25
13020100371 ,8806164118276 ,得鲜 爱可按钮唇膏09#咖啡棕色,100,广东快客电子商务有限公司,TC彩妆,唇部,口红,亮面口红,32,59.9,0,0,25,25
1303020020049 ,6921623736920 ,Pramy柏瑞美·满天星钻幻彩液体腮红03蜂蜜罐头 6ml,116,深圳市盟客供应链科技有限公司,TC彩妆,局部,腮红,液体腮红,31.64,69.9,0,94,55,149
1305050030004 ,6971538077601 ,Wet n Wild·幻彩元素十色眼影盘日落大道P760 10G,116,深圳市盟客供应链科技有限公司,TC彩妆,眼影,多色眼影,9-16色,31.6,69.9,0,63,0,63
2304030070007 ,4589919560950 ,Angel Recipe安姬蜜·奢养水润洁面乳90G,116,深圳市盟客供应链科技有限公司,TC护肤,洁面,洁面乳,补水保湿,31.19,49.9,0,0,5,5
13050100301003 ,8809585380864 ,EYECROWN艾珂兰· 哈德凯丽睫毛膏 丰盈国王 BK1201 5ml,116,深圳市盟客供应链科技有限公司,TC彩妆,眼部,睫毛,卷翘睫毛膏,31.05,69.9,0,48,88,136
13050100201004 ,8809585380888 ,EYECROWN艾珂兰· 哈德凯丽睫毛膏 卷翘明星 BK1203 5ml,116,深圳市盟客供应链科技有限公司,TC彩妆,眼部,睫毛,卷翘睫毛膏,31.05,69.9,0,12,70,82
13050100601011 ,8809585380871 ,EYECROWN艾珂兰· 哈德凯丽睫毛膏 纤长女王 BK1202 5ml,116,深圳市盟客供应链科技有限公司,TC彩妆,眼部,睫毛,卷翘睫毛膏,31.05,69.9,0,10,108,118
